date,remaining_points
2026-03-24,15
2026-03-25,47
2026-03-26,44
2026-03-27,43
2026-03-28,43
2026-03-29,43
2026-03-30,36
2026-03-31,23
2026-04-01,17
2026-04-02,17
2026-04-03,4
2026-04-04,6
2026-04-05,1
2026-04-06,0
2026-04-07,0
2026-04-08,0
2026-04-09,0
2026-04-10,0
2026-04-11,0
2026-04-12,0
2026-04-13,0
2026-04-14,0
2026-04-15,0
2026-04-16,0
